Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:00,04:30,09h 30m,640,8 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,03:45,07h 45m,473,4 Seats available,3.9,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:40,06:10,09h 30m,640,19 Seats available,3.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),21:30,06:55,09h 25m,640,15 Seats available,3.7,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:10,07:35,09h 25m,640,14 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:30,06:30,08h 00m,627,3 Seats available,3.7,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 583,Super Express Non AC Seater Air Bus (2+2),23:30,09:50,10h 20m,469,1 Seat available,3.6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:40,10:00,10h 20m,627,17 Seats available,3.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
DLT BUS,A/C Sleeper (2+1),22:30,07:30,09h 00m,900,11 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
P K Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,800,15 Seats available,4.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
MMK Travels,A/C Sleeper (2+1),23:00,07:30,08h 30m,850,13 Seats available,4.4,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
AdSAAM BUS,VE A/C Sleeper (2+1),21:45,06:45,09h 00m,800,9 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,750,18 Seats available,4.5,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,19:05,04:20,09h 15m,688,5 Seats available,3.9,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 1583,Super Express Non AC Seater Air Bus (2+2),20:00,05:15,09h 15m,640,2 Seats available,3.8,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 234,Swift Deluxe Non AC Air Bus (2+2),21:00,06:40,09h 40m,620,1 Seat available,4.2,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 1584,Super Express Non AC Seater Air Bus (2+2),21:30,06:35,09h 05m,640,11 Seats available,3.4,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 50,Swift Deluxe Non AC Air Bus (2+2),22:00,07:10,09h 10m,640,5 Seats available,3.5,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 549,Super Express Non AC Seater Air Bus (2+2),22:15,06:13,07h 58m,640,2 Seats available,1.7,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
MMK Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,749,17 Seats available,4.6,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
SKS Tours & Travels,A/C Sleeper (2+1),21:00,06:00,09h 00m,849,22 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
DLT BUS,A/C Sleeper (2+1),21:45,06:30,08h 45m,949,12 Seats available,4.3,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
AdSuraj Holidays,VE A/C Sleeper (2+1),22:00,07:15,09h 15m,800,14 Seats available,3.7,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
P K Travels,A/C Sleeper (2+1),20:00,06:00,10h 00m,855,18 Seats available,4.3,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
NS Transports,VE A/C Sleeper (2+1),21:16,06:30,09h 14m,832,10 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
SAAM BUS,A/C Seater / Sleeper (2+1),20:30,06:15,09h 45m,650,17 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
NS Transports,Non A/C Seater / Sleeper (2+1),19:30,04:30,09h 00m,799,1 Seat available,4.1,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
National travels and logistics,A/C Sleeper (2+1),21:00,06:15,09h 15m,699,16 Seats available,3.4,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,06:30,09h 30m,599,24 Seats available,3.8,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 1872,Low Floor AC Seater 2+2,18:30,23:44,05h 14m,383,11 Seats available,3.1,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 1498,Super Fast Non AC Seater (2+3),20:20,02:05,05h 45m,269,44 Seats available,3.1,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 46,Swift Deluxe Non AC Air Bus (2+2),20:25,01:01,04h 36m,309,25 Seats available,2.9,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 2393,Low Floor AC Seater 2+2,20:30,01:44,05h 14m,383,17 Seats available,3.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 3090,Super Express Non AC Seater Air Bus (2+2),20:55,00:55,04h 00m,309,22 Seats available,3.1,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 827,Super Fast Non AC Seater (2+3),21:00,02:35,05h 35m,269,36 Seats available,3.9,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 531,Super Express Non AC Seater Air Bus (2+2),21:15,01:10,03h 55m,309,24 Seats available,3.3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 2954,Super Express Non AC Seater Air Bus (2+2),21:25,02:35,05h 10m,309,22 Seats available,3.1,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 42,Swift Deluxe Non AC Air Bus (2+2),21:25,02:05,04h 40m,309,5 Seats available,5.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 666,Super Fast Non AC Seater (2+3),22:25,04:19,05h 54m,269,41 Seats available,4.3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 1841,Low Floor AC Seater 2+2,22:30,03:40,05h 10m,383,11 Seats available,2.7,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 582,Super Express Non AC Seater Air Bus (2+2),22:40,03:40,05h 00m,288,12 Seats available,5.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 1704,Super Fast Non AC Seater (2+3),22:40,03:50,05h 10m,255,33 Seats available,4.5,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 1011,Super Fast Non AC Seater (2+3),23:00,04:30,05h 30m,261,20 Seats available,3.5,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 279,Super Fast Non AC Seater (2+3),23:05,04:40,05h 35m,269,45 Seats available,3.2,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,600,29 Seats available,3.3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,04h 30m,400,18 Seats available,3.7,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Galaxy Tours,A/C Semi Sleeper (2+2),21:45,02:01,04h 16m,650,27 Seats available,5.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
EMERALD TRAVELS,A/C Sleeper (2+1),22:10,02:40,04h 30m,900,18 Seats available,3.4,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Madhavi Travels,A/C Sleeper (2+1),22:20,02:35,04h 15m,902,15 Seats available,3.4,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 2517,Swift Deluxe Non AC Air Bus (2+2),18:36,23:16,04h 40m,309,16 Seats available,3.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
KSRTC (Kerala) - 2922,Super Fast Non AC Seater (2+3),19:00,00:20,05h 20m,269,43 Seats available,2.8,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
KSRTC (Kerala) - 2131,Super Express Non AC Seater Air Bus (2+2),20:29,01:50,05h 21m,288,10 Seats available,2.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
KSRTC (Kerala) - 1028,Super Fast Non AC Seater (2+3),22:10,03:30,05h 20m,269,34 Seats available,2.8,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
KSRTC (Kerala) - 2071,Super Express Non AC Seater Air Bus (2+2),22:10,02:30,04h 20m,268,14 Seats available,3.7,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
KSRTC (Kerala) - 408,Super Express Non AC Seater Air Bus (2+2),22:30,02:45,04h 15m,299,18 Seats available,5.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
KSRTC (Kerala) - 697,Super Fast Non AC Seater (2+3),22:34,03:35,05h 01m,231,30 Seats available,4.3,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
KSRTC (Kerala) - 47,Swift Deluxe Non AC Air Bus (2+2),22:55,03:52,04h 57m,309,11 Seats available,3.5,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Shajees Motors,A/C Semi Sleeper (2+2),19:30,00:40,05h 10m,370,17 Seats available,3.4,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Ubc travels,A/C Semi Sleeper (2+2),20:40,01:00,04h 20m,700,30 Seats available,3.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Ubc travels,A/C Seater/Sleeper (2+1),20:45,03:00,06h 15m,900,14 Seats available,3.6,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Kalpaka Travels 1,A/C Sleeper (2+1),20:55,02:30,05h 35m,700,11 Seats available,4.6,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Adrin Travels,A/C Seater/Sleeper (2+1),21:00,02:00,05h 00m,700,23 Seats available,4.6,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Sheraton Tours and Travels,A/C Seater/Sleeper (2+1),21:00,01:45,04h 45m,480,22 Seats available,5.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Jacobs Travels,A/C Semi Sleeper (2+2),21:00,02:30,05h 30m,600,26 Seats available,5.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
UFO Bus,A/C Sleeper (2+1),21:15,02:45,05h 30m,709,22 Seats available,5.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Cochin Express,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:15,02:20,05h 05m,566,24 Seats available,5.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Cochin Express,A/C Sleeper (2+1),21:20,02:30,05h 10m,858,6 Seats available,4.6,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
KSRTC (Kerala) - 136,Swift Deluxe Non AC Air Bus (2+2),20:30,04:10,07h 40m,568,14 Seats available,3.3,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
KSRTC (Kerala) - 101,Swift Deluxe Non AC Air Bus (2+2),21:15,05:10,07h 55m,548,19 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
KSRTC (Kerala) - 98,Swift Deluxe Non AC Air Bus (2+2),21:55,05:50,07h 55m,579,17 Seats available,4.2,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
KSRTC (Kerala) - 1767,Super Express Non AC Seater Air Bus (2+2),23:10,07:05,07h 55m,568,2 Seats available,3.9,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
DLT BUS,A/C Sleeper (2+1),22:30,06:00,07h 30m,800,12 Seats available,4.7,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
P K Travels,NON A/C Semi Sleeper (2+2),21:45,05:00,07h 15m,630,27 Seats available,4.0,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
Sugama Tourist,A/C Sleeper (2+1),22:00,05:30,07h 30m,800,12 Seats available,4.0,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
AdMMK Travels,VE A/C Seater / Sleeper (2+1),22:15,05:30,07h 15m,700,12 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
GOLDEN TRAVEL AGENCIES,A/C Sleeper (2+1),22:00,05:25,07h 25m,899,10 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
GOLDEN TRAVEL AGENCIES,NON A/C Sleeper (2+1),22:30,04:45,06h 15m,699,8 Seats available,4.0,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
NS Transports,A/C Sleeper (2+1),22:15,05:45,07h 30m,999,10 Seats available,4.5,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
AdAshoka Travel and Logistics,A/C Semi Sleeper (2+2),22:30,05:45,07h 15m,800,15 Seats available,3.9,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
GOLDEN TRAVEL AGENCIES,A/C Sleeper (2+1),21:30,05:15,07h 45m,899,9 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
GOLDEN TRAVEL AGENCIES,Volvo A/C Semi Sleeper (2+2),22:45,04:45,06h 00m,899,14 Seats available,4.3,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,19:05,02:05,07h 00m,452,5 Seats available,3.0,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
KSRTC (Kerala) - 1583,Super Express Non AC Seater Air Bus (2+2),20:00,03:00,07h 00m,419,3 Seats available,3.8,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
KSRTC (Kerala) - 234,Swift Deluxe Non AC Air Bus (2+2),21:00,04:25,07h 25m,398,1 Seat available,1.0,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
KSRTC (Kerala) - 1584,Super Express Non AC Seater Air Bus (2+2),21:30,04:20,06h 50m,419,10 Seats available,4.9,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
KSRTC (Kerala) - 50,Swift Deluxe Non AC Air Bus (2+2),22:00,04:55,06h 55m,419,5 Seats available,4.7,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
KSRTC (Kerala) - 719,Super Fast Non AC Seater (2+3),23:00,05:40,06h 40m,319,29 Seats available,3.1,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
A1 Travels,A/C Seater / Sleeper (2+1),20:00,04:00,08h 00m,600,20 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
SAAM BUS,A/C Seater / Sleeper (2+1),20:30,04:00,07h 30m,650,17 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
National travels and logistics,NON A/C Sleeper (2+1),20:45,04:00,07h 15m,599,19 Seats available,3.8,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
Suraj Holidays,NON AC Seater / Sleeper 2+1,21:00,03:00,06h 00m,650,19 Seats available,3.5,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
National travels and logistics,A/C Sleeper (2+1),21:00,03:15,06h 15m,699,21 Seats available,3.0,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
A1 Travels,Non A/C Seater / Sleeper (2+1),21:45,04:00,06h 15m,550,25 Seats available,3.0,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
DA Transports,A/C Sleeper (2+1),22:01,04:40,06h 39m,699,17 Seats available,4.3,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
Suraj Holidays,VE A/C Sleeper (2+1),22:00,05:00,07h 00m,800,14 Seats available,3.6,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
A1 Travels,A/C Seater / Sleeper (2+1),22:00,03:30,05h 30m,650,33 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
DA Transports,A/C Sleeper (2+1),21:50,04:30,06h 40m,749,15 Seats available,3.0,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
KSRTC (Kerala) - 100,Swift Deluxe Non AC Air Bus (2+2),19:00,03:05,08h 05m,548,23 Seats available,4.2,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
KSRTC (Kerala) - 1766,Super Express Non AC Seater Air Bus (2+2),20:15,04:25,08h 10m,568,23 Seats available,4.3,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
KSRTC (Kerala) - 133,Swift Deluxe Non AC Air Bus (2+2),21:30,05:20,07h 50m,568,8 Seats available,4.5,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
KSRTC (Kerala) - 99,Swift Deluxe Non AC Air Bus (2+2),21:30,05:45,08h 15m,579,6 Seats available,4.1,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
DLT BUS,A/C Sleeper (2+1),20:30,05:00,08h 30m,800,15 Seats available,5.0,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
P K Travels,A/C Sleeper (2+1),21:00,05:00,08h 00m,855,18 Seats available,4.1,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
MMK Travels,VE A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,700,22 Seats available,4.3,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
Ashoka Travel and Logistics,A/C Semi Sleeper (2+2),21:00,05:15,08h 15m,900,26 Seats available,4.0,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
NS Transports,A/C Sleeper (2+1),21:15,05:30,08h 15m,899,12 Seats available,4.4,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
NS Transports,Non A/C Seater / Sleeper (2+1),20:30,05:20,08h 50m,624,4 Seats available,4.1,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
NS Transports,NON A/C Sleeper (2+1),21:45,05:45,08h 00m,749,1 Seat available,4.2,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
Kalpaka Travels 1,A/C Sleeper (2+1),21:45,05:00,07h 15m,1000,17 Seats available,4.1,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
Golden Travels,Volvo A/C Semi Sleeper (2+2),21:45,04:50,07h 05m,899,10 Seats available,4.7,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
Golden Travels,NON A/C Sleeper (2+1),21:30,05:00,07h 30m,749,7 Seats available,4.2,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
KSRTC (Kerala) - 1872,Low Floor AC Seater 2+2,18:30,04:25,09h 55m,742,9 Seats available,2.4,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 2984,Super Fast Non AC Seater (2+3),19:20,06:10,10h 50m,502,46 Seats available,1.7,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 2372,Low Floor AC Seater 2+2,19:30,04:10,08h 40m,723,21 Seats available,3.0,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 2393,Low Floor AC Seater 2+2,20:30,06:35,10h 05m,742,11 Seats available,2.0,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 3090,Super Express Non AC Seater Air Bus (2+2),20:55,04:55,08h 00m,586,19 Seats available,2.0,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 827,Super Fast Non AC Seater (2+3),21:00,08:35,11h 35m,515,36 Seats available,2.6,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 531,Super Express Non AC Seater Air Bus (2+2),21:15,05:05,07h 50m,586,14 Seats available,2.7,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 2954,Super Express Non AC Seater Air Bus (2+2),21:25,07:10,09h 45m,586,20 Seats available,5.0,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 42,Swift Deluxe Non AC Air Bus (2+2),21:25,06:10,08h 45m,586,4 Seats available,2.8,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 1880,Low Floor AC Seater 2+2,21:30,07:30,10h 00m,723,21 Seats available,4.6,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 44,Swift Deluxe Non AC Air Bus (2+2),21:50,06:45,08h 55m,565,12 Seats available,4.1,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 1212,AC MULTI AXLE,22:00,06:20,08h 20m,935,25 Seats available,1.3,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 2743,Super Express Non AC Seater Air Bus (2+2),22:20,08:05,09h 45m,565,30 Seats available,3.0,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 1841,Low Floor AC Seater 2+2,22:30,08:30,10h 00m,742,8 Seats available,1.6,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 1200,Super Express Non AC Seater Air Bus (2+2),22:35,08:25,09h 50m,565,15 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
A1 Travels,A/C Seater / Sleeper (2+1),20:05,05:30,09h 25m,700,28 Seats available,4.1,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,07:30,08h 00m,807,28 Seats available,4.4,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
Madhavi Travels,A/C Semi Sleeper (2+2),23:30,07:30,08h 00m,807,22 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,21:45,06:30,08h 45m,650,1 Seat available,5.0,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
BLM Transports,A/C Sleeper (2+1),22:00,07:00,09h 00m,855,18 Seats available,3.7,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
KSRTC (Kerala) - 793,Super Fast Non AC Seater (2+3),18:30,00:00,05h 30m,285,49 Seats available,4.4,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),18:35,00:45,06h 10m,356,14 Seats available,5.0,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
KSRTC (Kerala) - 380,Swift Deluxe Non AC Air Bus (2+2),18:50,01:00,06h 10m,356,11 Seats available,4.0,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),19:50,01:25,05h 35m,419,8 Seats available,3.3,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),21:35,04:30,06h 55m,419,18 Seats available,3.5,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
KSRTC (Kerala) - 1077,Super Fast Non AC Seater (2+3),22:30,05:50,07h 20m,319,40 Seats available,4.3,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
